SpName,TraitName,ValueQ,Units,ValueC,ValueT,CitName,Notes
Achillea millefolium,Authority,,,,L.,--,
Achillea millefolium,Breeding,,,allogamy,,--,
Achillea millefolium,Clonality,,,clonal rhizomes,,Rose et al. 98,
Achillea millefolium,Clonality,,,clonal aboveground,,Ecol. Flora British Isles,stolons
Achillea millefolium,Code,,,,ACMI2,"USDA, NRCS 05",
Achillea millefolium,Common_name,,,,common yarrow,--,
Achillea millefolium,Diaspore_feature,,,none,,--,
Achillea millefolium,Dispersal_mode,,,wind,,--,
Achillea millefolium,Dispersal_peak_month,7,month,,,Ecol. Flora British Isles,
Achillea millefolium,Dormancy_break_mech,,,not stratification,,Roberts and Clark 04a,
Achillea millefolium,Dormancy_break_mech,,,after-ripening,,Ecol. Flora British Isles,
Achillea millefolium,Dormancy_break_mech,,,not light,,Ecol. Flora British Isles,
Achillea millefolium,Family,,,,Asteraceae,--,
Achillea millefolium,Flowering_peak_month,6,month,,,Flora ID Northwest 04,median of earliest 5 months listed
Achillea millefolium,Germination_peak_month,3,month,,,Ecol. Flora British Isles,
Achillea millefolium,Germination_peak_month,10,month,,,Ecol. Flora British Isles,
Achillea millefolium,Germination_rate,83.80000305,%,,,Roberts and Clark 04b,
Achillea millefolium,Germination_rate,92,%,,,Roberts and Clark 04b,Average of range (84-100%)
Achillea millefolium,Growth_form_Corn,,,semi-basal,,,
Achillea millefolium,Growth_form_std,,,dicot forb,,--,
Achillea millefolium,Habit,,,herbaceous,,--,
Achillea millefolium,Habitat_main,,,upland prairie,,--,
Achillea millefolium,Height_max,40,cm,,,--,
Achillea millefolium,LAR_standard,47.31419754, mm2/mg,,,Clark et al 08,Standard conditions
Achillea millefolium,LAR_standard,30.81305695, mm2/mg,,,Clark et al 07,Standard conditions
Achillea millefolium,Leaf_area_21d,626.5839844, mm2,,,Clark et al 08,Standard conditions
Achillea millefolium,Leaf_area_21d,392.6140137, mm2,,,Clark et al 07,Standard conditions
Achillea millefolium,Leaf_division,,,compound,,--,
Achillea millefolium,Leaf_margin,,,lobed,,--,
Achillea millefolium,Leaf_shape,,,,lanceolate,--,
Achillea millefolium,Life_form,,,hemicryptophyte,,--,
Achillea millefolium,Life_form_exp,,,H mstem,,,
Achillea millefolium,LMR_standard,0.808267295, mg/mg,,,Clark et al 08,Standard conditions
Achillea millefolium,LMR_standard,0.751821876, mg/mg,,,Clark et al 07,Standard conditions
Achillea millefolium,Mass_aboveground_21d,12.23333359,  mg,,,Clark et al 08,Standard conditions
Achillea millefolium,Mass_aboveground_21d,10.34000015,  mg,,,Clark et al 07,Standard conditions
Achillea millefolium,Mass_root_21d,2.299999952,  mg,,,Clark et al 08,Standard conditions
Achillea millefolium,Mass_root_21d,2.849999905,  mg,,,Clark et al 07,Standard conditions
Achillea millefolium,Mass_seed,0.239999995,mg,,,Roberts 05,
Achillea millefolium,Mass_seed,0.239999995,mg,,,Roberts and Clark 04b,
Achillea millefolium,Mass_seed,0.119599998,mg,,,Roberts 05b,
Achillea millefolium,Nitrogen_fixing,,,No,,--,
Achillea millefolium,Perenniality,,,perennial,,--,
Achillea millefolium,Propagation_mode,,,seed and vegetative,,--,
Achillea millefolium,Ps_pathway,,,C3,,--,
Achillea millefolium,Reproductive_sched,,,polycarpy,,--,
Achillea millefolium,RGR_standard,0.246161252,per day,,,Clark et al 08,Standard conditions
Achillea millefolium,RGR_standard,0.233327955,per day,,,Clark et al 07,Standard conditions
Achillea millefolium,Root_system,,,fibrous,,Flora ID Northwest 04,
Achillea millefolium,RSA_standard,0.756967723, --,,,Clark et al 08,Standard conditions
Achillea millefolium,RSA_standard,0.735402226, --,,,Clark et al 07,Standard conditions
Achillea millefolium,Seed_bank,,,yes,,Ecol. Flora British Isles,
Achillea millefolium,Seed_length,1.661999941,mm,,,Roberts 05b,
Achillea millefolium,Seed_shape,0.231790006,mm3,,,Roberts 05b,
Achillea millefolium,SLA_standard,59.07785797, mm2/mg,,,Clark et al 08,Standard conditions
Achillea millefolium,SLA_standard,41.84866714, mm2/mg,,,Clark et al 07,Standard conditions
Achillea millefolium,Status_Federal,,,none,,--,
Achillea millefolium,Status_ONHIC,,,none,,--,
Achillea millefolium,Status_State,,,none,,--,
Achillea millefolium,Stem_arrangement,,,multiple upright,,--,
Achillea millefolium,Taxonomic_group,,,dicot,,,
Achillea millefolium,ULR_standard,0.005571806,mg/mm2/day,,,Clark et al 08,Standard conditions
Achillea millefolium,ULR_standard,0.006850452,mg/mm2/day,,,Clark et al 07,Standard conditions
Achillea millefolium,Wetland_Indicator_Status,,,FACU,,
Achillea millefolium,Where_native,,,cosmopolitan,,--
Achnatherum lemmonii,Authority,,,,(Vasey) Barkworth,--
Achnatherum lemmonii,Code,,,,ACLE8,"USDA, NRCS 05"
Achnatherum lemmonii,Common_name,,,,needlegrass,--
Achnatherum lemmonii,Diaspore_feature,,,awn,,--
Achnatherum lemmonii,Family,,,,Poaceae,--
