"term_lab","mean_est","median_est","lower_95","upper_95","effect_cat"
"Elevation × Life history",0.0416205926234452,0.0320448273161943,-0.00612962744986024,0.101740678525081,"Positive (90–95%)"
"Latitude × Life history",-0.0127719588604583,-0.00890640150140579,-0.117206994348728,0.079113142177698,"Negative (<90%)"
"Precipitation × Life history",0.0107499870717579,0.00224491538160837,-0.0149886626205219,0.0589675965195912,"Positive (<90%)"
"Temperature × Life history",0.00533515058508322,0.0118996324636864,-0.0470559958007386,0.057224895043263,"Positive (<90%)"
"Elevation × Precipitation",0.00459519327757706,0.00548176969291367,-0.0206073609878399,0.0294922975482561,"Positive (<90%)"
"Latitude × Precipitation",0.0321937115160174,0.0336676935058194,0.00100254845667238,0.056931443562587,"Positive (>95%)"
"Latitude × Elevation",0.0365914506545209,0.0324309134042882,0.0039058213491739,0.0722357505022849,"Positive (>95%)"
"Temperature × Latitude",0.0773763957072352,0.078674241618468,0.0421503505980326,0.112038075911304,"Positive (>95%)"
"Temperature × Elevation",-0.0100751655241105,-0.0124826376714278,-0.0296774993197525,0.0161523639026676,"Negative (<90%)"
"Temperature × Precipitation",-0.00585551070863209,-0.00520951821712379,-0.0374084728781069,0.0193281303281573,"Negative (<90%)"
"Life history",-0.763159611015011,-0.734523870584493,-1.41426016683033,-0.140679305545366,"Negative (>95%)"
"Elevation",0.00489975388930768,0.00681306993128708,-0.0443719269283984,0.0397226904787636,"Positive (<90%)"
"Latitude",0.189075054490499,0.184662563092001,0.131557788987074,0.255275664678249,"Positive (>95%)"
"Precipitation",0.057057297368004,0.0583282636489237,0.021046790810978,0.0892040744232546,"Positive (>95%)"
"Temperature",-0.0583710979471775,-0.0625932208784183,-0.0785111528440162,-0.0291012319761533,"Negative (>95%)"
