Full species name
Achillea millefolium
Achnatherum lemmonii
Agoseris grandiflora
Agrostis capillaris
Agrostis diegoensis
Agrostis exarata
Agrostis stolonifera
Aira caryophyllea
Allium amplectens
Antennaria microphylla
Anthoxanthum odoratum
Aquilegia formosa
Arrhenatherum elatius
Beckmannia syzigachne
Brachypodium sylvaticum
Briza minor
Brodiaea coronaria
Bromus carinatus
Bromus diandrus
Bromus hordeaceus
Bromus sitchensis
Calochortus tolmiei
Camassia leichtlinii
Camassia quamash
Campanula rotundifolia
Carex densa
Carex inops
Carex ovalis
Carex tumulicola
Carex unilateralis
Centaurium erythraea
Cerastium arvense
Cerastium glomeratum
Cicendia quadrangularis
Cimicifuga elata
Cirsium arvense
Cirsium vulgare
Clarkia amoena
Clarkia purpurea ssp. quadrivulnera
Clarkia rhomboidea
Collinsia grandiflora
Collinsia parviflora
Collomia grandiflora
Crataegus douglassii
Crepis capillaris
Crepis setosa
Cynosurus echinatus
Cytisus scoparius
Dactylis glomerata
Danthonia californica
Danthonia spicata
Daucus carota
Delphinium menziesii
Delphinium nuttallii ssp. nuttallii
Deschampsia cespitosa
Dichanthelium acuminatum var. fasciculatum
Dichelostemma congestum
Dipsacus fullonum
Downingia elegans
Downingia yina
Eleocharis ovata
Eleocharis palustris
Elymus glaucus
Elymus trachycaulus
Epilobium brachycarpum
Epilobium densiflorum
Erigeron decumbens var. decumbens
Erigeron speciosus
Eriophyllum lanatum
Eryngium petiolatum
Festuca californica
Festuca roemeri
Festuca rubra
Fragaria virginiana
Fraxinus latifolia
Fritillaria affinis
Galium aparine
Galium parisiense
Galium triflorum
Gentiana sceptrum
Geranium oreganum
Gilia capitata
Glyceria occidentalis
Gnaphalium palustre
Gratiola ebracteata
Grindelia integrifolia
Hieracium cynoglossoides
Holcus lanatus
Hordeum brachyantherum
Horkelia congesta ssp. congesta
Hypericum perforatum
Hypochaeris radicata
Juncus acuminatus
Juncus bufonius
Juncus ensifolius
Juncus nevadensis
Juncus oxymeris
Juncus tenuis
Koeleria macrantha
Lathyrus holochlorus
Leptosiphon bicolor
Leucanthemum vulgare
Ligusticum apiifolium
Lolium perenne ssp. perenne
Lomatium bradshawii
Lomatium nudicaule
Lomatium triternatum
Lomatium utriculatum
Lotus formosissimus
Lotus micranthus
Lotus unifoliolatus var. unifoliolatus
Lupinus albicaulis
Lupinus bicolor
Lupinus lepidus
Lupinus oreganus var. kincaidii
Luzula comosa
Madia elegans
Madia glomerata
Madia gracilis
Madia sativa
Meconella oregana
Mentha pulegium
Microseris laciniata
Montia howellii
Myosotis discolor
Orthocarpus bracteosus
Osmorhiza berteroi
Panicum capillare
Parentucellia viscosa
Perideridia montana
Phalaris aquatica
Phalaris arundinacea
Phleum pratense
Plagiobothrys figuratus
Plantago lanceolata
Poa pratensis
Poa secunda
Polygonum douglasii ssp. spergulariiforme
Potentilla glandulosa
Potentilla gracilis
Prunella vulgaris ssp. lanceolata
Pseudotsuga menziesii var. menziesii
Pteridium aquilinum
Pyrrocoma racemosa var. racemosa
Quercus garryana
Ranunculus occidentalis
Ranunculus orthorhynchus
Rorippa curvisiliqua
Rosa eglanteria
Rosa nutkana
Rubus discolor
Rumex acetosella
Rumex salicifolius
Sagittaria latifolia
Sanicula crassicaulis
Saxifraga oregana
Schedonorus phoenix
Senecio jacobaea
Sericocarpus rigidus
Sherardia arvensis
Sidalcea campestris
Sidalcea cusickii
Sidalcea malviflora ssp. virgata
Sisyrinchium angustifolium
Sisyrinchium hitchcockii
Solidago canadensis
Solidago missouriensis
Solidago simplex
Symphyotrichum hallii
Taeniatherum caput-medusae
Toxicodendron diversilobum
Trifolium dubium
Trifolium pratense
Triteleia hyacinthina
Veronica arvensis
Veronica scutellata
Vicia americana
Vicia cracca
Vicia hirsuta
Vicia sativa
Vicia villosa
Viola adunca
Viola praemorsa
Vulpia bromoides
Wyethia angustifolia
Zigadenus venenosus
